artist,n_reviews,artist_norm,is_various,is_suspicious_token
aye nako,2,aye nako,False,False
ayshay,1,ayshay,False,False
azari,1,azari,False,False
azealia banks,4,azealia banks,False,False
azeda booth,1,azeda booth,False,False
azeem,1,azeem,False,False
azekel,1,azekel,False,False
azita,4,azita,False,False
aziz ansari,1,aziz ansari,False,False
aztec camera,1,aztec camera,False,False
azure ray,6,azure ray,False,False
azusa plane,1,azusa plane,False,False
b l a c k i e,1,b l a c k i e,False,False
b. fleischmann,2,b. fleischmann,False,False
b.j. nilsen,1,b.j. nilsen,False,False
b.o.b,1,b.o.b,False,False
baaba maal,1,baaba maal,False,False
baauer,1,baauer,False,False
babatunde olatunji,1,babatunde olatunji,False,False
babbletron,1,babbletron,False,False
babe rainbow,2,babe rainbow,False,False
bablicon,3,bablicon,False,False
babu,1,babu,False,False
baby blak,1,baby blak,False,False
baby charles,1,baby charles,False,False
baby dee,3,baby dee,False,False
baby elephant,1,baby elephant,False,False
baby huey,1,baby huey,False,False
baby teeth,1,baby teeth,False,False
babyface,1,babyface,False,False
babyfather,1,babyfather,False,False
babyshambles,4,babyshambles,False,False
bacao rhythm,1,bacao rhythm,False,False
bachelorette,2,bachelorette,False,False
bad bad hats,1,bad bad hats,False,False
bad brains,4,bad brains,False,False
bad lieutenant,1,bad lieutenant,False,False
bad rabbits,1,bad rabbits,False,False
bad religion,2,bad religion,False,False
badbadnotgood,2,badbadnotgood,False,False
badgerlore,3,badgerlore,False,False
badly drawn boy,7,badly drawn boy,False,False
bailter space,1,bailter space,False,False
baio,1,baio,False,False
bakonour,1,bakonour,False,False
balam acab,2,balam acab,False,False
balance,2,balance,False,False
balkan beat box,1,balkan beat box,False,False
ballet school,1,ballet school,False,False
balmorhea,3,balmorhea,False,False
bambi molesters,2,bambi molesters,False,False
banco de gaia,2,banco de gaia,False,False
band of horses,6,band of horses,False,False
bandshell,1,bandshell,False,False
bang lime,1,bang lime,False,False
bangs,1,bangs,False,False
banjo or freakout,2,banjo or freakout,False,False
bankroll fresh,1,bankroll fresh,False,False
banks,3,banks,False,False
