artist,artist_norm,n_reviews,is_various,is_suspicious_token,artist_spotify,match_type,score,spotify_artist_id
mgmt,mgmt,4,False,False,MGMT,exact_norm,1.0,
migos,migos,4,False,False,Migos,exact_norm,1.0,
mos def,mos def,4,False,False,Mos Def,exact_norm,1.0,
neon indian,neon indian,4,False,False,Neon Indian,exact_norm,1.0,
nightmares on wax,nightmares on wax,4,False,False,Nightmares On Wax,exact_norm,1.0,
onra,onra,4,False,False,Onra,exact_norm,1.0,
passion pit,passion pit,4,False,False,Passion Pit,exact_norm,1.0,
paul simon,paul simon,4,False,False,Paul Simon,exact_norm,1.0,
phantogram,phantogram,4,False,False,Phantogram,exact_norm,1.0,
placebo,placebo,4,False,False,Placebo,exact_norm,1.0,
roach gigz,roach gigz,4,False,False,Roach Gigz,exact_norm,1.0,
run the jewels,run the jewels,4,False,False,Run The Jewels,exact_norm,1.0,
rustie,rustie,4,False,False,Rustie,exact_norm,1.0,
sbtrkt,sbtrkt,4,False,False,SBTRKT,exact_norm,1.0,
sia,sia,4,False,False,Sia,exact_norm,1.0,
sleigh bells,sleigh bells,4,False,False,Sleigh Bells,exact_norm,1.0,
small black,small black,4,False,False,Small Black,exact_norm,1.0,
statik selektah,statik selektah,4,False,False,Statik Selektah,exact_norm,1.0,
sweet valley,sweet valley,4,False,False,Sweet Valley,exact_norm,1.0,
tanlines,tanlines,4,False,False,Tanlines,exact_norm,1.0,
tennis,tennis,4,False,False,Tennis,exact_norm,1.0,
the breeders,the breeders,4,False,False,The Breeders,exact_norm,1.0,
the clash,the clash,4,False,False,The Clash,exact_norm,1.0,
the cool kids,the cool kids,4,False,False,The Cool Kids,exact_norm,1.0,
the lemonheads,the lemonheads,4,False,False,The Lemonheads,exact_norm,1.0,
the prodigy,the prodigy,4,False,False,The Prodigy,exact_norm,1.0,
the rolling stones,the rolling stones,4,False,False,The Rolling Stones,exact_norm,1.0,
the war on drugs,the war on drugs,4,False,False,The War On Drugs,exact_norm,1.0,
todd terje,todd terje,4,False,False,Todd Terje,exact_norm,1.0,
vampire weekend,vampire weekend,4,False,False,Vampire Weekend,exact_norm,1.0,
yacht,yacht,4,False,False,YACHT,exact_norm,1.0,
a$ap ferg,a$ap ferg,3,False,False,A$AP Ferg,exact_norm,1.0,
a$ap rocky,a$ap rocky,3,False,False,A$AP Rocky,exact_norm,1.0,
alunageorge,alunageorge,3,False,False,AlunaGeorge,exact_norm,1.0,
angel olsen,angel olsen,3,False,False,Angel Olsen,exact_norm,1.0,
antwon,antwon,3,False,False,Antwon,exact_norm,1.0,
ariana grande,ariana grande,3,False,False,Ariana Grande,exact_norm,1.0,
banks,banks,3,False,False,Banks,exact_norm,1.0,
blood orange,blood orange,3,False,False,Blood Orange,exact_norm,1.0,
brazilian girls,brazilian girls,3,False,False,Brazilian Girls,exact_norm,1.0,
busta rhymes,busta rhymes,3,False,False,Busta Rhymes,exact_norm,1.0,
cassius,cassius,3,False,False,Cassius,exact_norm,1.0,
childish gambino,childish gambino,3,False,False,Childish Gambino,exact_norm,1.0,
christopher owens,christopher owens,3,False,False,Christopher Owens,exact_norm,1.0,
chvrches,chvrches,3,False,False,CHVRCHES,exact_norm,1.0,
cocteau twins,cocteau twins,3,False,False,Cocteau Twins,exact_norm,1.0,
colleen green,colleen green,3,False,False,Colleen Green,exact_norm,1.0,
das racist,das racist,3,False,False,Das Racist,exact_norm,1.0,
destruction unit,destruction unit,3,False,False,Destruction Unit,exact_norm,1.0,
devotchka,devotchka,3,False,False,DeVotchKa,exact_norm,1.0,
dj drama,dj drama,3,False,False,DJ Drama,exact_norm,1.0,
duran duran,duran duran,3,False,False,Duran Duran,exact_norm,1.0,
ellie goulding,ellie goulding,3,False,False,Ellie Goulding,exact_norm,1.0,
elliphant,elliphant,3,False,False,Elliphant,exact_norm,1.0,
ennio morricone,ennio morricone,3,False,False,Ennio Morricone,exact_norm,1.0,
estelle,estelle,3,False,False,Estelle,exact_norm,1.0,
fetty wap,fetty wap,3,False,False,Fetty Wap,exact_norm,1.0,
fiona apple,fiona apple,3,False,False,Fiona Apple,exact_norm,1.0,
fka twigs,fka twigs,3,False,False,FKA twigs,exact_norm,1.0,
fleetwood mac,fleetwood mac,3,False,False,Fleetwood Mac,exact_norm,1.0,
foxygen,foxygen,3,False,False,Foxygen,exact_norm,1.0,
frank ocean,frank ocean,3,False,False,Frank Ocean,exact_norm,1.0,
frankie cosmos,frankie cosmos,3,False,False,Frankie Cosmos,exact_norm,1.0,
glass candy,glass candy,3,False,False,Glass Candy,exact_norm,1.0,
